label,message,length
0,"['go', 'jurong', 'point', ',', 'crazy', '..', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', '...', 'cine', 'got', 'amore', 'wat', '...']",20
0,"['ok', 'lar', '...', 'joking', 'wif', 'u', 'oni', '...']",8
1,"['free', 'entry', '2', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005', '.', 'text', 'fa', '87121', 'receive', 'entry', 'question', '(', 'std', 'txt', 'rate', ')', 't', '&', 'c', ""'s"", 'apply', '08452810075over18', ""'s""]",32
0,"['u', 'dun', 'say', 'early', 'hor', '...', 'u', 'c', 'already', 'say', '...']",11
0,"['nah', 'i', ""n't"", 'think', 'go', 'usf', ',', 'life', 'around', 'though']",10
1,"['freemsg', 'hey', 'darling', ""'s"", '3', 'week', ""'s"", 'word', 'back', '!', 'i', ""'d"", 'like', 'fun', 'still', '?', 'tb', 'ok', '!', 'xxx', 'std', 'chgs', 'send', ',', '£1.50', 'rcv']",26
0,"['even', 'brother', 'like', 'speak', '.', 'they', 'treat', 'like', 'aid', 'patent', '.']",11
0,"['as', 'per', 'request', ""'melle"", 'melle', '(', 'oru', 'minnaminunginte', 'nurungu', 'vettam', ')', ""'"", 'set', 'callertune', 'callers', '.', 'press', '*', '9', 'copy', 'friend', 'callertune']",22
1,"['winner', '!', '!', 'as', 'valued', 'network', 'customer', 'selected', 'receivea', '£900', 'prize', 'reward', '!', 'to', 'claim', 'call', '09061701461', '.', 'claim', 'code', 'kl341', '.', 'valid', '12', 'hour', '.']",26
1,"['had', 'mobile', '11', 'month', '?', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobile', 'camera', 'free', '!', 'call', 'the', 'mobile', 'update', 'co', 'free', '08002986030']",22
0,"['i', ""'m"", 'gon', 'na', 'home', 'soon', ""n't"", 'want', 'talk', 'stuff', 'anymore', 'tonight', ',', 'k', '?', 'i', ""'ve"", 'cried', 'enough', 'today', '.']",21
1,"['six', 'chance', 'win', 'cash', '!', 'from', '100', '20,000', 'pound', 'txt', '>', 'csh11', 'send', '87575', '.', 'cost', '150p/day', ',', '6days', ',', '16+', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']",27
1,"['urgent', '!', 'you', '1', 'week', 'free', 'membership', '£100,000', 'prize', 'jackpot', '!', 'txt', 'word', ':', 'claim', 'no', ':', '81010', 't', '&', 'c', 'www.dbuk.net', 'lccltd', 'pobox', '4403ldnw1a7rw18']",25
0,"['i', ""'ve"", 'searching', 'right', 'word', 'thank', 'breather', '.', 'i', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', '.', 'you', 'wonderful', 'blessing', 'time', '.']",22
0,"['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will', '!', '!']",10
1,"['xxxmobilemovieclub', ':', 'to', 'use', 'credit', ',', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', '>', '>', 'http', ':', '//wap', '.', 'xxxmobilemovieclub.com', '?', 'n=qjkgighjjgcbl']",22
0,"['oh', 'k', '...', ""'m"", 'watching', ':', ')']",7
0,"['eh', 'u', 'remember', '2', 'spell', 'name', '...', 'yes', '.', 'he', 'v', 'naughty', 'make', 'v', 'wet', '.']",16
0,"['fine', 'that\x92s', 'way', 'u', 'feel', '.', 'that\x92s', 'way', 'gota', 'b']",10
